X,Y,Rent
59.951063,30.2343093,900
59.858804,30.199274,633.3333333
59.913083,30.3280144,1250
59.839669,30.350828,720
59.979444,30.510961,615.3846154
59.819382,30.340976,653.8461538
59.83928,30.349819,551.7241379
59.831349,30.324456,938.7755102
59.958687,30.3008949,1093.75
60.032092,30.145592,520
59.951063,30.2343093,900
59.939577,30.496445,566.6666667
59.841055,30.347816,892.8571429
60.070608,30.324205,592.5925926
59.84522,30.109804,630.2521008
59.939996,30.205798,716.8458781
60.031954,30.3071669,640
60.005931,30.197919,660.3773585
59.956277,30.289971,740.7407407
59.956277,30.289971,714.2857143
60.021642,30.255494,740.7407407
59.962974,30.3109759,1562.5
60.061054,30.306807,627.1777003
59.935295,30.3108136,2515.72327
59.935295,30.3108136,2347.41784
59.939293,30.437024,733.3333333
59.935295,30.3108136,2439.02439
59.826302,30.332478,703.7037037
59.936361,30.219709,774.1935484
59.863649,30.515078,551.7241379
60.06974542,30.31102313,642.8571429
60.012663,30.3811018,857.1428571
59.99119,30.328114,888.8888889
59.837952,30.354733,714.2857143
59.91884,30.2929726,1000
59.975991,30.386745,769.2307692
59.838481,30.352813,720
60.056077,30.31205,661.7647059
59.936251,30.204477,814.8148148
59.8321,30.325732,678.5714286
60.075567,30.343577,692.3076923
59.964973,30.3063929,958.3333333
59.861205,30.161987,421.0526316
60.033976,30.237427,760
59.981535,30.38822,740.7407407
59.851846,30.137705,642.8571429
59.948879,30.262814,967.7419355
59.851846,30.137705,666.6666667
59.92336,30.453463,823.5294118
59.834774,30.5156902,814.8148148
59.834774,30.5156902,916.6666667
59.902274,30.3309587,1200
59.843923,30.110639,400
59.843923,30.110639,576.9230769
60.082305,30.343841,555.5555556
59.983682,30.314752,1060.606061
59.841351,30.306669,1020.408163
60.075567,30.343577,600
60.078342,30.350705,695.6521739
59.841351,30.306669,851.8518519
59.831956,30.333448,1277.777778
59.841055,30.347816,892.8571429
59.853125,30.139726,760
59.935295,30.3108136,2710.843373
60.068984,30.3028263,714.2857143
59.935295,30.3108136,2926.829268
59.935295,30.3108136,2573.529412
59.935295,30.3108136,2590.673575
59.862298,30.184238,586.2068966
60.000619,30.208097,718.75
59.832259,30.5469996,535.7142857
60.001371,30.299422,1166.666667
60.003669,30.288802,961.5384615
60.035958,30.222569,640
59.844081,30.108366,555.5555556
59.842544,30.305861,739.1304348
59.829161,30.541462,640
59.829161,30.541462,680
60.070355,30.316227,666.6666667
59.983671,30.356714,1000
59.923013,30.3417427,1206.896552
59.875171,30.403086,625
59.872138,30.3328404,1000
59.993064,30.356059,870.9677419
59.931704,30.4262033,740.7407407
59.794646,30.157706,538.4615385
59.942546,30.2598871,1166.666667
59.84522,30.109804,541.6666667
59.839669,30.350828,740.7407407
59.84345,30.357554,724.137931
59.999697,30.216572,766.6666667
59.885088,30.3690464,1000
59.856835,30.316317,766.6666667
59.929949,30.3376872,1142.857143
59.923013,30.3417427,1435.897436
59.993293,30.356948,909.0909091
59.852963,30.155878,720
60.030649,30.142412,625
60.027649,30.223744,812.7208481
59.860617,30.192583,629.6296296
59.941124,30.3492239,821.4285714
59.853441,30.146316,640
59.851739,30.142089,743.8016529
59.82362,30.337491,846.1538462
59.931918,30.407946,1145.833333
59.888379,30.313766,807.6923077
59.939293,30.437024,821.4285714
60.038079,30.228956,640
59.928524,30.3219634,1111.111111
59.983635,30.397869,760
60.078342,30.350705,833.3333333
59.837952,30.354733,600
59.98805,30.365635,781.25
60.03771,30.225579,687.5
59.838859,30.350763,760
59.900146,30.307604,1111.111111
60.069885,30.325956,678.5714286
59.834564,30.4024258,1000
59.937991,30.440132,961.5384615
60.036577,30.393716,850.2024291
59.981535,30.38822,666.6666667
59.83092,30.246024,642.8571429
59.853392,30.155321,600
59.93687,30.204205,600
59.905348,30.314655,1074.074074
59.84345,30.357554,749.0636704
59.953711,30.2419584,795.4545455
60.039414,30.224294,800
59.84522,30.109804,600
59.859926,30.208797,592.5925926
59.935436,30.2571413,1111.111111
59.92952,30.258843,962.962963
59.84522,30.109804,666.6666667
59.862296,30.3145745,967.7419355
60.004267,30.223323,1120
60.038079,30.228956,916.6666667
59.82509,30.333071,785.7142857
60.035958,30.222569,700
60.035958,30.222569,700
59.859036,30.197506,629.6296296
59.936873,30.201944,800
59.840722,30.10409,680
59.913183,30.2787631,620.6896552
60.042415,30.224716,750
59.84345,30.357554,720
59.923013,30.3417427,1428.571429
59.923013,30.3417427,1346.153846
59.841351,30.306669,640
60.068984,30.3028263,666.6666667
59.821675,30.327506,642.8571429
60.040358,30.40903,655.1724138
59.905547,30.319012,1617.647059
59.905547,30.319012,1800
59.952222,30.2315758,1000
59.946987,30.342027,1562.5
60.070608,30.324205,607.1428571
59.888379,30.313766,875
60.038767,30.221167,700
59.925991,30.3452598,882.3529412
59.923013,30.3417427,1315.789474
59.819047,30.327609,666.6666667
59.952402,30.257056,555.5555556
59.930857,30.4111459,800
59.858024,30.196575,550
60.000726,30.221482,920
59.819382,30.340976,629.6296296
60.033976,30.237427,428.5714286
59.843869,30.22415,777.7777778
59.860048,30.193526,784.3137255
59.996655,30.274627,833.3333333
59.820553,30.327591,933.3333333
59.819047,30.327609,793.1034483
59.819382,30.340976,714.2857143
59.843869,30.22415,620.6896552
59.892752,30.4294961,742.4242424
59.85045795,30.13489025,800
59.76091,30.325408,562.5
59.93687,30.204205,733.3333333
59.841351,30.306669,800
59.863206,30.50332,750
60.071472,30.23616,625
59.83092,30.246024,760
59.91414,30.3465106,1045.454545
59.97599,30.386745,629.6296296
59.92952,30.258843,982.7586207
60.000619,30.208097,625.7142857
59.840722,30.10409,714.2857143
60.041112,30.409994,555.5555556
59.843923,30.110639,680
60.078342,30.350705,548.3870968
59.92252,30.3269473,1058.823529
59.994275,30.1585411,1000
59.929292,30.3810957,1400
59.94260599,30.37736393,1071.428571
60.027962,30.247273,692.3076923
60.035958,30.222569,692.3076923
59.831349,30.324456,884.6153846
60.042415,30.224716,680
60.01843541,30.24834975,716.6666667
59.919734,30.370306,813.9534884
60.035958,30.222569,692.3076923
59.939293,30.437024,857.1428571
59.863116,30.51401,553.5055351
60.036758,30.226369,841.1214953
59.97383,30.3033404,1083.333333
59.832983,30.1933343,800
59.933736,30.3474959,1071.428571
59.939293,30.437024,892.8571429
59.923013,30.3417427,1400
60.037049,30.223854,760
59.831349,30.324456,833.3333333
59.841975,30.113128,640
60.053107,30.32517,750
59.900146,30.307604,800
59.894915,30.463587,927.4193548
59.937391,30.3447961,1500
59.873297,30.334432,833.3333333
59.997041,30.272677,846.1538462
59.992821,30.171024,500
59.851846,30.137705,892.8571429
60.041099,30.221608,766.1290323
59.83150562,30.32987406,782.6086957
60.031571,30.233304,1000
60.031571,30.233304,938.7755102
59.873297,30.334432,1031.25
59.925801,30.3719629,1111.111111
59.957444,30.242557,1176.470588
59.837703,30.11363,653.8461538
60.041112,30.409994,605.2631579
59.953524,30.3005551,1500
59.962397,30.269952,1375
59.842544,30.305861,800
60.032308,30.401208,720
59.829161,30.541462,565.2173913
59.993064,30.356059,1296.296296
59.993064,30.356059,869.5652174
59.856835,30.316317,1000
59.860617,30.192583,653.8461538
60.034677,30.239682,678.5714286
59.914973,30.3217159,1363.636364
59.93166,30.352764,975.6097561
59.838023,30.35216,645.1612903
59.83975,30.111825,600
59.851607,30.146337,640
59.841975,30.113128,652.173913
59.983851,30.348854,933.3333333
60.035958,30.222569,562.5
59.927213,30.3088657,1444.444444
60.045781,30.3655,821.4285714
59.857328,30.4487012,925.9259259
59.92020139,30.34586257,1850
60.029022,30.250049,740.7407407
59.854027,30.3474248,1714.285714
59.928596,30.378309,1086.956522
59.993064,30.356059,1200
60.075567,30.343577,615.3846154
60.016935,30.281893,769.2307692
59.987407,30.368123,593.75
59.850201,30.300687,878.7878788
59.827765,30.5469826,615.3846154
60.03998,30.415105,620.6896552
59.952426,30.482128,625
59.841975,30.113128,625
59.986634,30.256864,1075
59.916229,30.43955,800
59.86181,30.185496,600
59.849532,30.243006,600
60.028658,30.246465,666.6666667
60.029022,30.250049,782.6086957
59.998834,30.20735,740.7407407
59.825136,30.2204632,800
59.942938,30.3423537,926.8292683
60.012663,30.3811018,866.6666667
59.958471,30.29977,1117.647059
59.958821,30.299621,1000
59.831349,30.324456,1277.777778
60.001005,30.324851,650
59.984296,30.208439,875
60.052933,30.312709,481.4814815
59.841749,30.224716,514.7058824
59.845191,30.330298,662.2516556
59.945297,30.2375773,666.6666667
59.840916,30.3852036,468.75
60.040629,30.3735817,450
60.051814,30.327726,512.5
59.85019,30.241576,434.7826087
60.035958,30.222569,676.4705882
60.006377,30.219284,540.5405405
60.040434,30.400471,486.4864865
60.025385,30.2165414,450
60.000726,30.221482,1052.631579
59.832292,30.422472,571.4285714
59.939996,30.205798,475
60.011558,30.328337,625
60.008711,30.262903,523.8095238
59.840722,30.10409,527.7777778
60.030649,30.142412,514.2857143
60.073759,30.338317,664.8199446
60.056077,30.31205,770.8333333
60.014696,30.386702,638.8888889
60.08205,30.338425,439.0243902
59.988899,30.21265,625
59.837413,30.3579,777.7777778
59.845469,30.311152,636.3636364
60.035023,30.387428,487.804878
59.980988,30.37425,714.2857143
59.993595,30.321824,645.1612903
59.929646,30.459455,600
60.040434,30.400471,568.8622754
59.857495,30.410326,510.8695652
59.861363,30.182603,454.5454545
59.855445,30.2208606,438.1443299
59.945812,30.3411681,1111.111111
59.989994,30.375238,757.5757576
59.878481,30.4795274,473.6842105
60.079639,30.33608,555.5555556
59.955955,30.2882135,750
59.718375,30.08263,435.8974359
60.001005,30.324851,650
60.001929,30.212281,831.0249307
59.873976,30.298863,562.5
59.792092,30.149103,534.8837209
60.008357,30.4181095,485.7142857
59.861778,30.189601,416.6666667
60.001929,30.212281,750
59.948163,30.252285,744.6808511
60.032396,30.411425,514.2857143
60.001005,30.324851,650
60.026896,30.21735,512.8205128
59.939996,30.205798,533.3333333
59.849944,30.1495,581.3953488
60.027849,30.2108736,377.7777778
59.857992,30.172057,418.6046512
59.846462,30.3131245,567.5675676
59.845935,30.374088,450
59.848359,30.3840495,478.2608696
60.032155,30.344982,511.1111111
59.907194,30.312032,1170.212766
59.953657,30.41924,500
60.02601,30.218105,380.952381
60.08205,30.338425,404.7619048
60.035034,30.373667,631.5789474
60.007151,30.213891,575
59.838561,30.350435,846.1538462
59.993293,30.356948,771.2082262
59.930092,30.458018,590.9090909
60.015179,30.309661,750
59.917836,30.448622,555.5555556
59.996809,30.203015,547.6190476
60.024296,30.2417004,432.4324324
60.032218,30.405241,589.7435897
59.85684,30.196338,391.3043478
60.057985,30.323396,380
59.873297,30.334432,1000
60.040577,30.21965,540.5405405
59.910265,30.45543,526.3157895
60.023722,30.369507,461.5384615
60.035297,30.250426,585.2941176
60.035297,30.250426,539.5833333
59.989477,30.193167,911.1111111
59.996299,30.193806,465.1162791
60.082305,30.343841,509.383378
59.860179,30.415024,641.025641
60.001001,30.251692,609.7560976
59.848986,30.245036,500
60.000393,30.299932,742.8571429
59.84466,30.3167841,610.0795756
59.916503,30.2984703,918.9189189
59.936361,30.219709,710.5263158
59.95435,30.214741,625
60.005747,30.478014,457.1428571
60.073759,30.338317,750
59.915034,30.470116,575
59.873587,30.304523,714.2857143
59.936251,30.204477,714.2857143
60.037715,30.330376,485.7142857
59.911367,30.476846,555.5555556
59.926562,30.470675,615.3846154
60.001005,30.324851,650
59.952288,30.2191294,416.6666667
59.828874,30.1614998,500
60.041885,30.334787,500
59.841351,30.306669,864.8648649
59.856393,30.240113,616.6666667
60.030088,30.234849,479.1666667
59.981404,30.4131949,694.4444444
59.875431,30.3109655,625
59.950172,30.483332,546.4480874
59.943219,30.3428536,580.6451613
59.863398,30.3749396,437.5
59.973575,30.4005735,517.2413793
60.003092,30.2977639,790.0677201
60.00204,30.254351,522.7272727
59.836803,30.2598565,720
60.07696,30.340776,473.6842105
59.86762,30.457478,532.6086957
59.937747,30.2751754,613.6363636
60.023704,30.2223333,454.5454545
59.857076,30.3738594,645.1612903
60.041935,30.4256433,530.3030303
59.830196,30.3732166,500
60.043429,30.3841251,454.5454545
59.919022,30.370639,883.7209302
59.896086,30.4782782,580.6451613
59.860717,30.247237,718.75
60.034386,30.246127,555.5555556
60.018328,30.2484785,500
59.921499,30.483597,833.3333333
59.855696,30.20737,510.2040816
59.989576,30.202492,800
59.976831,30.393896,540.5405405
59.930701,30.45853,595.2380952
59.901062,30.456661,625
60.02422,30.4210736,485.7142857
59.993614,30.309531,609.7560976
59.919022,30.370639,750
59.857592,30.195373,540.5405405
59.976297,30.315383,888.8888889
59.937355,30.477331,578.9473684
59.941835,30.223521,727.2727273
60.010704,30.2448537,447.3684211
59.876639,30.312526,729.1666667
59.89213,30.483359,485.2941176
59.935205,30.433565,681.8181818
59.966236,30.3105589,806.4516129
59.999491,30.197242,729.1666667
60.036438,30.457191,425
59.828225,30.328984,666.6666667
60.030541,30.238559,625
60.001005,30.324851,650
60.032218,30.405241,588.2352941
59.872467,30.3310057,500
60.047619,30.3606362,450
59.938629,30.2379174,638.8888889
60.01444323,30.27622535,681.8181818
60.0218,30.2820867,450.928382
59.91580227,30.44742453,555.5555556
59.991086,30.1975285,500
59.966898,30.3144988,996.4412811
59.945244,30.240248,760.4562738
60.048822,30.367773,521.3270142
59.919022,30.370639,1000
59.928467,30.4769749,400
59.992821,30.171024,500
